rule_type,nutrient,rule_key,sex,age_min,age_max,value,value_min,value_max,unit,value_type,notes
# TEMPLATE. Every value below is a placeholder written as FILL_ME and will be REJECTED by the importer.
# Replace each one by transcribing from the printed ICMR-NIN RDA/EAR 2020 tables. Delete these comment lines.
# Delete any row whose value the publication does not state — an absent target is correct; a guessed one is not.
ACTIVITY_FACTOR,,SEDENTARY,ANY,,,FILL_ME,,,FACTOR,FACTOR,
ACTIVITY_FACTOR,,LIGHTLY_ACTIVE,ANY,,,FILL_ME,,,FACTOR,FACTOR,
ACTIVITY_FACTOR,,MODERATELY_ACTIVE,ANY,,,FILL_ME,,,FACTOR,FACTOR,
ACTIVITY_FACTOR,,VERY_ACTIVE,ANY,,,FILL_ME,,,FACTOR,FACTOR,
GOAL_ENERGY_ADJUSTMENT,,WEIGHT_LOSS,ANY,,,FILL_ME,,,KCAL_PER_DAY,FACTOR,negative value removes energy
GOAL_ENERGY_ADJUSTMENT,,WEIGHT_GAIN,ANY,,,FILL_ME,,,KCAL_PER_DAY,FACTOR,
GOAL_ENERGY_ADJUSTMENT,,WEIGHT_MAINTENANCE,ANY,,,0,,,KCAL_PER_DAY,FACTOR,no adjustment
PROTEIN_PER_KG,,,FEMALE,19,130,FILL_ME,,,G_PER_KG_PER_DAY,RDA,
PROTEIN_PER_KG,,,MALE,19,130,FILL_ME,,,G_PER_KG_PER_DAY,RDA,
FAT_ENERGY_PERCENT,,,ANY,19,130,,FILL_ME,FILL_ME,PERCENT_OF_ENERGY,RANGE,use RANGE where the source states a band
FIBRE_INTAKE,,,FEMALE,19,130,FILL_ME,,,G_PER_DAY,AI,
FIBRE_INTAKE,,,MALE,19,130,FILL_ME,,,G_PER_DAY,AI,
MICRONUTRIENT_INTAKE,CALCIUM,,ANY,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,IRON,,FEMALE,19,49,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,IRON,,FEMALE,50,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,IRON,,MALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,ZINC,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,ZINC,,MALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,MAGNESIUM,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,MAGNESIUM,,MALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_A,,FEMALE,19,130,FILL_ME,,,UG_PER_DAY,RDA,stored in UG
MICRONUTRIENT_INTAKE,VITAMIN_A,,MALE,19,130,FILL_ME,,,UG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_B1,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_B2,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_B3,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_B6,,FEMALE,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,VITAMIN_B12,,ANY,19,130,FILL_ME,,,UG_PER_DAY,RDA,stored in UG
MICRONUTRIENT_INTAKE,VITAMIN_C,,ANY,19,130,FILL_ME,,,MG_PER_DAY,RDA,
MICRONUTRIENT_INTAKE,FOLATE,,ANY,19,130,FILL_ME,,,UG_PER_DAY,RDA,stored in UG
